 260  1979A&A....76..245H Hammerschlag-Hensberge et al.       
 261  1980A&A....85..119H Hammerschlag-Hensberge et al.       
 262  1984ApJ...283..249H Hammerschlag-Hensberge et al.       
 263  1990ApJ...352..698H Hammerschlag-Hensberge et al.       
 264  1999A&A...344..614H Hang et al.                         
 265  1989MNRAS.240p...1H Hanson et al.                       
 266  1994A&A...291L..31K Hao et al.                          
 267                      Hardorp et al.                      1959, Luminous Stars in the Northern Milky Way I (Hamberger Sternwarte- Warner and Swasey Observatory).
 268  2000ApJ...528..454H Harrison et al.                     
 269  1990IAUC.5142....1M Hasinger et al.                     
 270  1992ApJ...387..340H Heap & Corcoran                     
 271  1989A&A...223..154H Heemskerk & Van Paradijs            
 272  1999ApJ...521L..49H Heindl et al.                       
 273  1983ApJ...268..807H Henrichs et al.                     
 274  1973A&A....29...69H Hensberge et al.                    
 275  1983ApJ...275..247H Henson et al.                       
 276  1977Natur.269..494H Hermsen et al.                      
 277  1995A&A...297..556H Herrero et al.                      
 278  1974ApJ...189L..69H Hill et al.                         
 279  1994ApJ...429..192H Hill et al.                         
 280  1977IAUC.3039....1H Hiltner                             
 281  1973ApJ...182L..29H Hjellming                           
 282                      Hjellming                           1988, in: Galactic and Extragalavtic Radio Astronomy', eds. G.L. Verschuur & K.I. Kellerman (Springer), p. 381.
 283  1997IAUC.6750S...1H Hjellming                           
 284  1981ApJ...246L.141H Hjellming & Johnston                
 285  1998IAUC.6857Q...1M Hjellming & Mioduszewski            
 286  1971ApJ...168L..21H Hjellming & Wade                    
 287  1998AAS...192.7805H Hjellming et al.                    
 288                      Hoffleit & Jaschek                  1982, Cat. <V/50>
 289  1979ApJ...233..344H Holt et al.                         
 290  1985PASP...97..300H Honeycutt & Schlegel                
 291  2000A&A...355..187H Hony et al.                         
 292  1994PASJ...46....9H Horaguchi et al.                    
 293                      Houk & Cowley                       1975, Cat. <III/31>
 294  1983MNRAS.203..801H Howarth                             
 295  1984MNRAS.207..287H Howarth et al.                      
 296  1983ApJ...272..678H Howe et al.                         
 297  1977MNRAS.180p..21H Huckle et al.                       
 298                      Hudec & Ratz                        1989, in ref. [767], P. 427.
 299  1994ApJ...427L..25H Hughes                              
 300  1994AJ....107.1363H Hughes & Smith                      
 301  1998A&A...337L..25H Hulleman et al.                     
 302  1975Obs....95..171H Humphreys & Whelan                  
 303  1994A&A...290..428H Hunt et al.                         
 304  1970MNRAS.150...55H Hutchings                           
 305  1974ApJ...192..677H Hutchings                           
 306  1977MNRAS.181..619H Hutchings                           
 307  1979PASP...91..657H Hutchings                           
 308  1981PASP...93..486H Hutchings & Crampton                
 309  1981ApJ...247..222H Hutchings & Crampton                
 310  1977PASP...89...19H Hutchings & Stoeckley               
 311  1975MNRAS.170..313H Hutchings et al.                    
 312  1977ApJ...217..186H Hutchings et al.                    
 313  1978ApJ...223..530H Hutchings et al.                    
 314  1978ApJ...225..548H Hutchings et al.                    
 315  1979ApJ...229.1079H Hutchings et al.                    
