 281  1999IAUC.7291Q...1M Dal Fiume, D. et al.                
 282  1989MNRAS.237..523D Damen, E. et al.                    
 283  1990A&A...237..103D Damen, E. et al.                    
 284  1996Natur.382..141D Daumerie, P. et al.                 
 285  1997A&A...322..229D David, P. et al.                    
 286  1998A&A...332..165D David, P. et al.                    
 287  1974ApJ...193L..25D Davidsen, A. et al.                 
 288  1976ApJ...203..448D Davidsen, A. et al.                 
 289  1977ApJ...211..866D Davidsen, A. et al.                 
 290  1976Natur.261..476D Davies, R.D. et al.                 
 291  1991MNRAS.249..313D Davies, S.R. & Coe, M.J.            
 292  1990MNRAS.245..268D Davies, S.R. et al.                 
 293  1975Natur.257..659D Davis, R.J. et al.                  
 294  1976IAUC.2925R...1D Davison, P.J.N. et al.              
 295  1988MNRAS.231...69D Day, C.S.R. et al.                  
 296  1976ApJ...206..861D Deeter, J. et al.                   
 297  1981ApJ...247.1003D Deeter, J.E. et al.                 
 298  1991ApJ...383..324D Deeter, J.E. et al.                 
 299  1998ApJ...502..802D Deeter, J.E. et al.                 
 300  1988ApJ...334..336D De Kool, M.                         
 301  1983A&A...127L..15D Delgado, A.J. et al.                
 302  1993IAUC.5890....1D Della Valle, M. & Benetti, .        
 303  1991A&A...247L..33D Della Valle, M. et al.              
 304  1991Natur.353...50D Della Valle, M. et al.              
 305  1994A&A...290..803D Della Valle, M. et al.              
 307  1997A&A...318..179D Della Valle, M. et al.              
 307  1998A&A...329..606D Della Valle, M. et al.              
 308  1996ApJ...471..979D Deutsch, E.W. et al.                
 309  1998AJ....116.1301D Deutsch, E.W. et al.                
 310  1998PASP..110..912D Deutsch, E.W. et al.                
 311  1998ApJ...493..775D Deutsch, E.W. et al.                
 312  1999ApJ...524..406D Deutsch, E.M. et al.                
 313  2000ApJ...530L..21D Deutsch, E.W. et al.                
 314  2000IAUC.7395R...1D Dhawan, V. et al.                   
 315  2000ApJ...538..307D Dieters, S.W. et al.                
 316  1989PASP..101.1135D Dolan, J.F. & Tapia, S.             
 317  1987ApJ...322..324D Dolan, J.F. et al.                  
 318  1989PASJ...41..427D Dotani, T. et al.                   
 319  1989PASJ...41..577D Dotani, T. et al.                   
 320  1990ApJ...350..395D Dotani, T. et al.                   
 321  1990Natur.347..534D Dotani, T. et al.                   
 322  1996IAUC.6368R...1D Dotani, T. et al.                   
 323  1978Natur.273..364D Dower, R.G. et al.                  
 324  1982ApJ...261..228D Dower, R.G. et al.                  
 325  1996PASP..108..688D Downes, R.A. et al.                 
 326  1973ApJ...182L..25D Doxsey, R.E. et al.                 
 327  1977Natur.269..112D Doxsey, R.E. et al.                 
 328  1977Natur.270..586D Doxsey, R.E. et al.                 
 329  1977IAUC.3113R...1D Doxsey, R. et al.                   
 330  1979ApJ...228L..67D Doxsey, R. et al.                   
 331  1987Msngr..50....8D Duerbeck, H.W.                      
 332  1976A&A....48..141D Duerbeck, H.W. & Walter, K.         
 333  1979MNRAS.187..567D Duldig, M.L. et al.                 
 334  1993MNRAS.265..157D Duncan, A.R. et al.                 
 335  1978Natur.275..400D Dupree, A. et al.                   
 336  1976ApJ...203L..17E Eachus, L.J. et al.                 
